Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR
-0.34023976032633957,0.5365,0.5195291599785982,0.971,0.6768909027535727,0.898,0.029
-0.3320676303916289,0.54,0.5215285252960172,0.969,0.6780965710286915,0.889,0.031
-0.3238955004569183,0.5415,0.5224688684353005,0.965,0.6779065683175274,0.882,0.035
-0.3157233705222076,0.5455,0.524822695035461,0.962,0.6791387222026121,0.871,0.038
-0.30755124058749694,0.547,0.5257393209200438,0.96,0.6794055201698515,0.866,0.04
-0.2993791106527863,0.548,0.526431718061674,0.956,0.6789772727272727,0.86,0.044
-0.2912069807180756,0.552,0.5288568257491676,0.953,0.6802284082798001,0.849,0.047
-0.28303485078336493,0.554,0.5301003344481605,0.951,0.6807444523979957,0.843,0.049
-0.27486272084865426,0.5595,0.5334081976417743,0.95,0.6832074793239842,0.831,0.05
-0.26669059091394365,0.559,0.5332581736189402,0.946,0.6820475847152125,0.828,0.054
-0.258518460979233,0.5605,0.5343945423536101,0.94,0.681406306632838,0.819,0.06
-0.2503463310445223,0.5645,0.5369204350314826,0.938,0.6829268292682926,0.809,0.062
-0.24217420110981164,0.569,0.5398843930635838,0.934,0.6842490842490843,0.796,0.066
-0.23400207117510097,0.572,0.5420560747663551,0.928,0.6843657817109144,0.784,0.072
-0.2258299412403903,0.5755,0.54449027695934,0.924,0.6852057842046719,0.773,0.076
-0.21765781130567963,0.5765,0.5454005934718101,0.919,0.6845437616387338,0.766,0.081
-0.20948568137096896,0.5805,0.54823247453565,0.915,0.6856500562008243,0.754,0.085
-0.2013135514362583,0.581,0.5490909090909091,0.906,0.6837735849056604,0.744,0.094
-0.19314142150154767,0.585,0.5521472392638037,0.9,0.6844106463878327,0.73,0.1
-0.184969291566837,0.5875,0.5541795665634675,0.895,0.6845124282982792,0.72,0.105
-0.17679716163212633,0.591,0.5570175438596491,0.889,0.684899845916795,0.707,0.111
-0.16862503169741566,0.5955,0.560328490208465,0.887,0.6867982965543941,0.696,0.113
-0.160452901762705,0.5995,0.5631746031746032,0.887,0.6889320388349515,0.688,0.113
-0.15228077182799432,0.602,0.5652173913043478,0.884,0.6895475819032761,0.68,0.116
-0.14410864189328365,0.605,0.567741935483871,0.88,0.6901960784313725,0.67,0.12
-0.13593651195857304,0.606,0.5689206762028609,0.875,0.6895193065405831,0.663,0.125
-0.12776438202386237,0.609,0.571522309711286,0.871,0.6901743264659271,0.653,0.129
-0.1195922520891517,0.612,0.5743691899070386,0.865,0.6903431763766958,0.641,0.135
-0.11142012215444097,0.614,0.5765100671140939,0.859,0.6899598393574297,0.631,0.141
-0.10324799221973036,0.6155,0.5784114052953157,0.852,0.6890416498180347,0.621,0.148
-0.09507586228501974,0.618,0.581267217630854,0.844,0.6884176182707993,0.608,0.156
-0.08690373235030902,0.62,0.5833333333333334,0.84,0.6885245901639344,0.6,0.16
-0.0787316024155984,0.624,0.5875706214689266,0.832,0.6887417218543046,0.584,0.168
-0.07055947248088767,0.6245,0.5891195418754474,0.823,0.686691697955778,0.574,0.177
-0.06238734254617706,0.626,0.5914368650217707,0.815,0.6854499579478553,0.563,0.185
-0.054215212611466335,0.6265,0.5926739926739927,0.809,0.6841437632135308,0.556,0.191
-0.04604308267675572,0.632,0.5986547085201793,0.801,0.6852010265183918,0.537,0.199
-0.037870952742044994,0.635,0.6018099547511312,0.798,0.6861564918314702,0.528,0.202
