Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR,EER
0.39005439530261243,0.6965,0.8553345388788427,0.473,0.609143593045718,0.08,0.527,0.3035
0.3980798620181276,0.6945,0.8595194085027726,0.465,0.6035042180402336,0.076,0.535,0.3055
0.4061053287336427,0.6915,0.8620037807183365,0.456,0.5964682799215174,0.073,0.544,0.3085
0.414130795449158,0.6865,0.8635477582846004,0.443,0.5855915399867813,0.07,0.557,0.3135
0.42215626216467306,0.6865,0.8678500986193294,0.44,0.5839416058394161,0.067,0.56,0.3135
0.43018172888018835,0.6855,0.8717434869739479,0.435,0.580386924616411,0.064,0.565,0.3145
0.43820719559570365,0.6835,0.8767967145790554,0.427,0.574310692669805,0.06,0.573,0.3165
0.4462326623112187,0.6835,0.8846960167714885,0.422,0.5714285714285714,0.055,0.578,0.3165
0.454258129026734,0.68,0.8862660944206009,0.413,0.56343792633015,0.053,0.587,0.32
0.4622835957422491,0.6785,0.8905908096280087,0.407,0.5586822237474262,0.05,0.593,0.3215
0.4703090624577644,0.677,0.8915929203539823,0.403,0.5550964187327824,0.049,0.597,0.323
0.47833452917327945,0.674,0.8936651583710408,0.395,0.5478502080443829,0.047,0.605,0.326
0.48635999588879475,0.6745,0.9048723897911833,0.39,0.5450733752620546,0.041,0.61,0.3255
0.4943854626043098,0.673,0.9080188679245284,0.385,0.5407303370786518,0.039,0.615,0.327
0.5024109293198251,0.668,0.9097560975609756,0.373,0.5290780141843971,0.037,0.627,0.332
0.5104363960353402,0.665,0.9125,0.365,0.5214285714285715,0.035,0.635,0.335
0.5184618627508555,0.661,0.9149484536082474,0.355,0.5115273775216138,0.033,0.645,0.339
0.5264873294663706,0.66,0.918848167539267,0.351,0.507959479015919,0.031,0.649,0.34
0.5345127961818859,0.6565,0.924119241192412,0.341,0.4981738495252009,0.028,0.659,0.3435
0.5425382628974011,0.6535,0.9299719887955182,0.332,0.48931466470154755,0.025,0.668,0.34650000000000003
0.5505637296129162,0.6495,0.930835734870317,0.323,0.47958426132145504,0.024,0.677,0.35050000000000003
0.5585891963284315,0.648,0.9352941176470588,0.318,0.47462686567164175,0.022,0.682,0.35200000000000004
0.5666146630439466,0.647,0.9401197604790419,0.314,0.47076461769115446,0.02,0.686,0.35300000000000004
0.5746401297594619,0.6455,0.9532710280373832,0.306,0.46328538985616957,0.015,0.694,0.3545
0.582665596474977,0.641,0.9577922077922078,0.295,0.4510703363914373,0.013,0.705,0.359
0.5906910631904922,0.6385,0.9570957095709571,0.29,0.44512663085188026,0.013,0.71,0.3615
0.5987165299060073,0.636,0.9657534246575342,0.282,0.43653250773993807,0.01,0.718,0.364
0.6067419966215226,0.6335,0.9651567944250871,0.277,0.4304584304584305,0.01,0.723,0.3665
0.6147674633370377,0.6295,0.96415770609319,0.269,0.42064112587959346,0.01,0.731,0.3705
0.622792930052553,0.6265,0.966789667896679,0.262,0.4122738001573564,0.009,0.738,0.3735
0.6308183967680681,0.621,0.9689922480620154,0.25,0.397456279809221,0.008,0.75,0.379
0.6388438634835834,0.6185,0.979757085020243,0.242,0.38813151563753007,0.005,0.758,0.3815
0.6468693301990986,0.615,0.9791666666666666,0.235,0.37903225806451607,0.005,0.765,0.385
0.6548947969146137,0.612,0.9827586206896551,0.228,0.3701298701298701,0.004,0.772,0.388
0.662920263630129,0.608,0.9821428571428571,0.22,0.3594771241830065,0.004,0.78,0.392
0.6709457303456441,0.605,0.9861111111111112,0.213,0.350328947368421,0.003,0.787,0.395
0.6789711970611594,0.6045,0.986046511627907,0.212,0.3489711934156378,0.003,0.788,0.3955
0.6869966637766745,0.6015,0.9856459330143541,0.206,0.34077750206782464,0.003,0.794,0.3985
0.6950221304921897,0.5985,0.9949748743718593,0.198,0.3302752293577982,0.001,0.802,0.4015
0.7030475972077048,0.594,0.9947368421052631,0.189,0.3176470588235294,0.001,0.811,0.406
0.7110730639232201,0.5905,0.994535519125683,0.182,0.3076923076923077,0.001,0.818,0.4095
0.7190985306387352,0.5865,0.9942857142857143,0.174,0.29617021276595745,0.001,0.826,0.4135
0.7271239973542505,0.5835,1.0,0.167,0.28620394173093405,0.0,0.833,0.4165
0.7351494640697656,0.579,1.0,0.158,0.27288428324697755,0.0,0.842,0.421
0.7431749307852809,0.577,1.0,0.154,0.2668977469670711,0.0,0.846,0.423
0.7512003975007961,0.5725,1.0,0.145,0.25327510917030566,0.0,0.855,0.4275
0.7592258642163112,0.57,1.0,0.14,0.24561403508771928,0.0,0.86,0.43
0.7672513309318265,0.5655,1.0,0.131,0.23165340406719717,0.0,0.869,0.4345
0.7752767976473416,0.5625,1.0,0.125,0.2222222222222222,0.0,0.875,0.4375
0.7833022643628569,0.5585,1.0,0.117,0.20948970456580127,0.0,0.883,0.4415
0.791327731078372,0.556,1.0,0.112,0.2014388489208633,0.0,0.888,0.444
0.7993531977938872,0.5535,1.0,0.107,0.1933152664859982,0.0,0.893,0.4465
0.8073786645094023,0.55,1.0,0.1,0.18181818181818182,0.0,0.9,0.45
0.8154041312249176,0.548,1.0,0.096,0.1751824817518248,0.0,0.904,0.452
0.8234295979404327,0.544,1.0,0.088,0.16176470588235292,0.0,0.912,0.456
0.831455064655948,0.542,1.0,0.084,0.15498154981549817,0.0,0.916,0.458
0.8394805313714631,0.5385,1.0,0.077,0.14298978644382546,0.0,0.923,0.4615
0.8475059980869784,0.534,1.0,0.068,0.12734082397003746,0.0,0.932,0.466
0.8555314648024936,0.531,1.0,0.062,0.1167608286252354,0.0,0.938,0.469
0.8635569315180087,0.5265,1.0,0.053,0.10066476733143401,0.0,0.947,0.4735
0.871582398233524,0.525,1.0,0.05,0.09523809523809523,0.0,0.95,0.475
0.8796078649490391,0.519,1.0,0.038,0.07321772639691715,0.0,0.962,0.481
0.8876333316645544,0.5175,1.0,0.035,0.0676328502415459,0.0,0.965,0.4825
0.8956587983800695,0.517,1.0,0.034,0.06576402321083172,0.0,0.966,0.483
0.9036842650955847,0.516,1.0,0.032,0.06201550387596899,0.0,0.968,0.484
0.9117097318110998,0.5145,1.0,0.029,0.05636540330417882,0.0,0.971,0.4855
0.9197351985266151,0.511,1.0,0.022,0.043052837573385516,0.0,0.978,0.489
0.9277606652421302,0.509,1.0,0.018,0.03536345776031434,0.0,0.982,0.491
